last_name,first_name,gender,country,month,year,job,payment,rating
Wallace,Scott,male,Swaziland,5,2023,Animal nutritionist,1890.66,7.6
Jenkins,Mark,male,Cook Islands,10,2021,Animal nutritionist,2039.61,6.8
Hernandez,Andrew,male,Switzerland,12,2023,Newspaper journalist,2054.79,6.3
Lewis,John,male,Morocco,1,2022,Newspaper journalist,2138.14,8.7
Gomez,Allen,male,Switzerland,12,2023,Animal nutritionist,2160.74,9.1
Stephens,Jesse,female,Bolivia,2,2023,"Scientist, research (physical sciences)",2049.77,8.4
Holland,Gordon,male,Romania,1,2021,Newspaper journalist,1993.4,8.3
Joseph,Rick,female,Cook Islands,8,2021,Newspaper journalist,1943.14,6.4
Baker,Martin,male,Switzerland,3,2022,Environmental consultant,2202.41,5.2
Myers,Cory,male,Morocco,1,2022,"Scientist, research (physical sciences)",1976.1,5.6
Parsons,Shannon,female,Cook Islands,4,2022,"Scientist, research (physical sciences)",2054.05,6.0
Thomas,Michael,male,Tajikistan,10,2021,Environmental consultant,1929.75,7.7
Hull,Thomas,male,Morocco,11,2023,Environmental consultant,2027.08,7.4
Evans,Johnathan,male,Bolivia,2,2023,Animal nutritionist,2019.33,5.4
Rollins,Mitchell,male,Switzerland,1,2022,Newspaper journalist,1940.79,9.5
Griffin,Nathan,male,Romania,7,2021,"Scientist, research (physical sciences)",2180.39,9.3
Robinson,Wyatt,male,Bolivia,7,2023,Animal nutritionist,1943.54,7.2
Palmer,Samuel,male,Romania,2,2021,Animal nutritionist,1913.1,9.8
Fitzpatrick,Alexander,male,Switzerland,4,2022,Animal nutritionist,1955.74,7.4
Price,James,male,Morocco,2,2020,Animal nutritionist,2052.62,9.6
Fisher,Troy,male,Romania,12,2022,Licensed conveyancer,2098.04,10.0
Hernandez,Robert,male,Swaziland,3,2022,Licensed conveyancer,2025.85,9.3
Johnson,Jeffrey,male,Switzerland,4,2023,Animal nutritionist,2020.5,9.2
Hall,William,male,Morocco,8,2023,Newspaper journalist,2124.12,5.2
Hill,Timothy,female,Switzerland,6,2021,Licensed conveyancer,2139.43,6.6
Willis,Donald,male,Morocco,11,2023,"Scientist, research (physical sciences)",2021.6,6.4
Travis,Joseph,male,Morocco,10,2020,Newspaper journalist,1995.12,5.2
Hill,Todd,male,Morocco,3,2020,"Scientist, research (physical sciences)",2044.01,5.6
Johnson,Thomas,male,Switzerland,8,2022,"Scientist, research (physical sciences)",2235.46,8.9
Yang,Brian,male,Cook Islands,7,2021,"Scientist, research (physical sciences)",2009.14,8.4
Thompson,Roger,male,Morocco,12,2020,Animal nutritionist,2023.81,7.3
Johnson,Kevin,male,Switzerland,12,2021,Environmental consultant,1836.95,5.1
Wood,Julian,male,Bolivia,12,2022,Licensed conveyancer,1983.63,5.4
Potter,Jorge,male,Switzerland,5,2021,Newspaper journalist,2042.09,7.7
Suarez,Christopher,female,Cook Islands,8,2021,Animal nutritionist,2062.45,8.9
Wilkinson,Scott,female,Romania,8,2022,Environmental consultant,2047.28,7.1
Anderson,Michael,male,Switzerland,9,2022,Animal nutritionist,1996.92,5.0
Lee,Carl,male,Switzerland,3,2021,Animal nutritionist,2029.08,9.1
Jennings,Andrew,male,Swaziland,10,2021,Environmental consultant,1787.2,7.9
Payne,Michael,male,Swaziland,9,2020,Licensed conveyancer,2011.64,5.1
Martinez,Thomas,male,Romania,5,2023,Animal nutritionist,1974.66,8.4
Perez,Aaron,male,Romania,1,2023,Newspaper journalist,2011.51,10.0
Townsend,Nicholas,male,Cook Islands,6,2020,Environmental consultant,2218.67,7.8
Christensen,Justin,male,Switzerland,5,2023,Environmental consultant,2019.07,7.6
Jones,Carl,male,Bolivia,3,2023,Environmental consultant,2042.79,7.2
Reed,Douglas,male,Cook Islands,6,2021,Newspaper journalist,1987.44,6.4
Powers,Danny,male,Switzerland,7,2023,Environmental consultant,1958.9,7.3
Castro,John,male,Romania,5,2020,Licensed conveyancer,1789.18,8.0
Carter,Thomas,male,Switzerland,8,2021,Animal nutritionist,2095.76,9.3
Deleon,Peter,male,Switzerland,5,2023,Environmental consultant,1959.63,9.0
Hensley,David,male,Morocco,12,2023,Animal nutritionist,2102.14,6.1
Mahoney,Jason,male,Switzerland,6,2021,Animal nutritionist,1914.41,8.3
Cuevas,George,male,Cook Islands,8,2022,Animal nutritionist,1836.21,9.8
Flores,Daniel,female,Switzerland,7,2023,Newspaper journalist,1823.28,8.4
Tran,Benjamin,male,Cook Islands,1,2020,"Scientist, research (physical sciences)",1956.42,6.0
Cook,Michael,male,Morocco,11,2021,Animal nutritionist,2025.72,8.6
Johns,Robert,male,Romania,2,2021,Animal nutritionist,2103.21,9.3
