last_name,first_name,gender,country,month,year,job,payment,rating
Chung,Edwin,male,Western Sahara,3,2020,Site engineer,1997.89,8.9
Morgan,Glenn,male,Brazil,8,2022,Site engineer,1909.03,6.1
Ortiz,Michael,male,Jersey,1,2023,Audiological scientist,2235.63,8.9
Guzman,Michael,male,Brazil,3,2022,Music tutor,1816.07,9.3
Montoya,Cody,male,Brazil,2,2020,Mechanical engineer,1921.54,9.6
Chavez,Steve,male,Jersey,8,2023,Mechanical engineer,2150.45,5.1
Thomas,Daniel,male,French Guiana,5,2023,Site engineer,1980.1,6.0
Cardenas,Peter,male,Samoa,9,2023,Homeopath,2028.9,6.4
Johnson,Christopher,male,Samoa,7,2020,Homeopath,2193.81,5.4
Carson,Charles,male,Jersey,11,2023,Mechanical engineer,1980.7,7.5
Figueroa,Randall,female,Brazil,10,2022,Homeopath,1831.52,9.7
Alexander,Justin,male,Western Sahara,9,2022,Site engineer,2009.34,8.1
Adams,Andrew,male,Brazil,8,2022,Audiological scientist,1897.08,6.6
Reyes,Jack,male,Holy See (Vatican City State),6,2023,Site engineer,2088.47,8.7
Vasquez,Joseph,male,Jersey,12,2023,Mechanical engineer,1948.43,6.2
Brown,John,male,Holy See (Vatican City State),2,2020,Mechanical engineer,1978.64,10.0
Gibbs,Christopher,male,Western Sahara,7,2023,Mechanical engineer,1864.29,8.3
Lozano,Richard,male,French Guiana,4,2020,Homeopath,1912.28,5.2
Moody,Thomas,male,Holy See (Vatican City State),6,2023,Mechanical engineer,1934.48,9.4
Schaefer,Raymond,male,Brazil,8,2023,Site engineer,2069.85,7.1
Green,Arthur,male,Brazil,1,2023,Homeopath,1956.17,8.9
Jordan,Tyler,male,Jersey,8,2021,Insurance risk surveyor,1974.76,6.2
Henson,Andrew,male,Samoa,12,2021,Insurance risk surveyor,2012.79,5.0
Ramirez,Jeremy,male,Brazil,5,2020,Homeopath,1874.19,6.1
Wilson,John,male,French Guiana,4,2023,Music tutor,1918.12,8.1
Gordon,Mark,male,Western Sahara,6,2021,Homeopath,1961.55,6.0
