last_name,first_name,gender,country,month,year,job,payment,rating
Wright,Jonathan,female,Singapore,4,2023,Special educational needs teacher,1850.61,8.1
Morris,Ronald,male,Philippines,4,2023,Corporate treasurer,1925.24,9.2
Bartlett,Russell,male,United States Virgin Islands,6,2020,Special educational needs teacher,1964.28,5.4
Moore,Andrew,female,North Macedonia,6,2021,Commercial/residential surveyor,2069.98,5.2
Montes,Colin,male,Azerbaijan,5,2022,"Scientist, research (life sciences)",2032.27,6.7
Hudson,Jacob,male,United States Virgin Islands,2,2021,Corporate treasurer,1969.19,7.6
Hill,Charles,male,Philippines,3,2020,Corporate treasurer,2013.26,8.4
Miller,Bruce,male,New Zealand,7,2023,"Scientist, research (life sciences)",1944.23,5.2
Guerrero,Jeremy,female,Congo,2,2020,"Engineer, water",1897.72,5.2
Ruiz,David,female,New Zealand,4,2023,"Surveyor, insurance",1812.3,7.7
Wilson,Ryan,female,Congo,2,2021,"Engineer, water",1927.87,9.8
Shaw,John,male,Azerbaijan,8,2023,"Scientist, research (life sciences)",1907.29,6.2
Santana,Scott,female,New Zealand,6,2023,"Scientist, research (life sciences)",2063.2,6.5
Little,Raymond,female,North Macedonia,10,2020,"Scientist, research (life sciences)",1807.79,8.9
Parker,James,male,North Macedonia,9,2020,"Engineer, water",1930.47,5.7
Garrett,Steven,female,Micronesia,12,2022,Special educational needs teacher,1991.55,8.6
Hughes,Brian,female,North Macedonia,1,2020,Corporate treasurer,1765.76,8.2
Duncan,Bradley,male,Philippines,12,2023,Commercial/residential surveyor,1901.98,7.6
Lin,Lee,female,Libyan Arab Jamahiriya,8,2021,Commercial/residential surveyor,1834.48,7.5
Bryant,Scott,female,Libyan Arab Jamahiriya,2,2023,"Engineer, water",2076.24,9.9
Cunningham,Mark,female,Congo,2,2020,"Scientist, research (life sciences)",2038.55,7.3
Adams,Joseph,male,Philippines,6,2020,Commercial/residential surveyor,1913.11,7.1
Valenzuela,Gary,male,Azerbaijan,12,2022,"Scientist, research (life sciences)",2120.31,6.3
Martin,John,female,Singapore,6,2020,"Engineer, water",1886.72,7.1
Dunlap,James,female,Philippines,1,2021,Corporate treasurer,1812.12,7.2
Turner,Jay,female,North Macedonia,11,2023,"Surveyor, insurance",2180.43,7.6
Burke,Jason,male,New Zealand,9,2023,Corporate treasurer,1801.99,8.6
Freeman,Maurice,female,Singapore,9,2023,Commercial/residential surveyor,2019.53,9.5
Scott,John,female,New Zealand,7,2020,"Scientist, research (life sciences)",1902.33,9.7
Wagner,Anthony,female,Congo,6,2020,Corporate treasurer,2093.12,7.4
Martin,Samuel,female,Philippines,10,2022,Corporate treasurer,1961.41,9.1
Sandoval,David,female,Micronesia,10,2021,Special educational needs teacher,1831.76,10.0
Harris,Michael,female,Philippines,10,2020,Corporate treasurer,1984.93,6.1
Webb,Jon,male,Libyan Arab Jamahiriya,9,2021,"Scientist, research (life sciences)",1812.58,9.3
Rogers,Louis,female,New Zealand,10,2023,"Surveyor, insurance",1678.87,7.9
Johnson,Shane,female,Libyan Arab Jamahiriya,6,2023,Corporate treasurer,1915.63,6.1
Jensen,Robert,female,North Macedonia,7,2021,Special educational needs teacher,1870.45,5.1
Williams,Jared,male,United States Virgin Islands,5,2022,Corporate treasurer,2064.88,7.1
Todd,Charles,female,Azerbaijan,5,2023,Commercial/residential surveyor,2178.26,9.0
Hayes,Glenn,female,Congo,12,2020,Commercial/residential surveyor,1918.83,9.0
Hoffman,John,female,Azerbaijan,8,2021,"Scientist, research (life sciences)",2061.53,7.4
Baker,Daniel,female,Singapore,3,2023,Commercial/residential surveyor,2052.28,7.0
Clements,Victor,female,Philippines,7,2023,"Scientist, research (life sciences)",1851.54,7.9
Rodriguez,John,female,Congo,7,2021,Corporate treasurer,2139.35,9.0
Smith,Adrian,female,Congo,10,2023,"Scientist, research (life sciences)",1992.78,5.8
Powell,Ryan,male,Philippines,8,2023,Special educational needs teacher,2008.75,9.9
Smith,Chad,male,Micronesia,11,2022,Commercial/residential surveyor,2007.78,9.9
Hayes,James,female,United States Virgin Islands,11,2022,Corporate treasurer,2004.75,8.4
Taylor,Christopher,male,Eritrea,1,2023,"Scientist, research (life sciences)",2053.07,8.2
Salazar,Adam,female,Azerbaijan,5,2023,Corporate treasurer,1953.35,8.7
Fisher,Aaron,male,Philippines,5,2020,"Scientist, research (life sciences)",2038.27,8.6
Conner,Brian,female,Congo,10,2020,Commercial/residential surveyor,2112.45,8.2
Jefferson,Dan,female,Philippines,4,2021,Special educational needs teacher,1904.97,6.7
Jones,Matthew,female,Libyan Arab Jamahiriya,8,2023,Special educational needs teacher,2152.35,10.0
Sherman,Tyler,female,Libyan Arab Jamahiriya,9,2022,Commercial/residential surveyor,2078.01,6.6
Roberts,John,female,Azerbaijan,12,2020,Commercial/residential surveyor,2047.58,9.3
Patton,Thomas,female,Eritrea,10,2020,Special educational needs teacher,2015.33,9.1
Graham,Thomas,female,North Macedonia,12,2023,Corporate treasurer,2154.06,7.4
Martinez,Jeremy,female,Philippines,1,2022,Special educational needs teacher,2042.77,6.8
George,Jaime,female,United States Virgin Islands,9,2022,Corporate treasurer,1978.37,7.5
Davis,Christopher,female,North Macedonia,5,2023,"Engineer, water",1997.38,7.1
Obrien,Michael,female,Eritrea,4,2021,Special educational needs teacher,2063.08,7.9
Powell,Justin,male,United States Virgin Islands,10,2022,"Engineer, water",1888.82,8.3
Page,Shaun,female,Eritrea,3,2023,Special educational needs teacher,1925.17,5.9
Hunt,Nicholas,male,Azerbaijan,8,2021,Special educational needs teacher,2013.46,6.5
Sandoval,Nicholas,male,Congo,2,2022,Special educational needs teacher,2196.16,6.5
Gonzalez,Kenneth,female,Eritrea,1,2023,"Engineer, water",1905.04,6.6
Cortez,Jared,female,Eritrea,10,2022,"Engineer, water",1855.48,6.2
Clark,Jordan,female,Micronesia,5,2023,Corporate treasurer,1942.16,10.0
Nguyen,Lance,female,Libyan Arab Jamahiriya,2,2021,Commercial/residential surveyor,2179.87,9.9
Reid,Austin,female,Philippines,12,2023,Corporate treasurer,2075.56,6.5
Taylor,James,female,Libyan Arab Jamahiriya,12,2022,"Surveyor, insurance",1999.78,7.6
Zimmerman,Stuart,male,Eritrea,2,2023,"Scientist, research (life sciences)",2034.27,6.8
Parrish,Timothy,female,Libyan Arab Jamahiriya,12,2020,Special educational needs teacher,1909.58,9.6
Graham,Frank,female,Azerbaijan,12,2020,Corporate treasurer,1982.37,6.6
Johnson,Dustin,female,Micronesia,12,2020,Special educational needs teacher,2167.83,10.0
Jones,Eddie,female,Singapore,12,2023,"Surveyor, insurance",1941.65,7.1
Drake,Chad,female,Azerbaijan,12,2023,"Scientist, research (life sciences)",2054.76,6.8
Parker,Riley,female,Libyan Arab Jamahiriya,3,2020,"Surveyor, insurance",1972.98,6.8
