last_name,first_name,gender,country,month,year,job,payment,rating
Durham,Michael,female,Kuwait,11,2020,Production manager,1999.16,9.3
Smith,Zachary,female,Kuwait,8,2022,Barrister,1904.33,6.1
Simon,Edward,female,Oman,12,2022,Barrister,2227.83,6.9
Johnson,Eric,female,Kuwait,12,2021,Broadcast engineer,1992.65,8.8
Glenn,Herbert,female,Congo,2,2020,Barrister,2039.65,7.3
Carlson,Douglas,female,Albania,1,2022,Barrister,2027.94,10.0
Spears,Steven,female,Congo,12,2020,"Journalist, magazine",2088.88,5.0
Lopez,Matthew,female,Congo,12,2022,"Education officer, environmental",1888.7,6.9
Chapman,Benjamin,female,Kuwait,10,2021,Barrister,1986.29,9.1
Brown,Walter,female,Kuwait,5,2022,Broadcast engineer,1962.26,8.4
Taylor,Christopher,female,Oman,1,2021,Production manager,2162.53,9.7
Stewart,Jeffrey,female,Azerbaijan,8,2022,Production manager,2016.7,7.1
Gomez,Carl,female,Oman,5,2020,Production manager,1891.79,6.7
Anderson,Jason,female,Azerbaijan,4,2020,"Education officer, environmental",2020.07,6.0
Morris,David,female,Albania,3,2023,"Journalist, magazine",1882.08,9.5
Mora,Robert,female,Azerbaijan,7,2022,Barrister,1824.66,9.3
Harris,Gregory,female,Azerbaijan,8,2023,Barrister,2129.27,5.6
Thomas,Joseph,female,Albania,4,2020,Broadcast engineer,1787.93,7.6
Farley,Matthew,female,Azerbaijan,7,2023,"Journalist, magazine",2033.06,7.3
Martinez,Curtis,female,Kuwait,7,2021,Production manager,2210.98,5.4
Brock,Angel,female,Oman,2,2023,"Journalist, magazine",2097.2,6.0
Fitzgerald,Richard,female,Congo,10,2021,"Journalist, magazine",1876.3,6.3
Jones,Kevin,female,Congo,4,2023,Barrister,2147.65,6.4
Jenkins,Calvin,female,Azerbaijan,11,2023,Barrister,1962.81,6.6
Sims,Kevin,female,Congo,10,2022,Barrister,2038.19,7.4
Sanchez,James,female,Congo,11,2020,Broadcast engineer,1941.95,7.2
Butler,Jonathan,female,Kuwait,1,2021,"Journalist, magazine",1996.05,9.9
Walker,Jesse,female,Azerbaijan,1,2022,"Education officer, environmental",1915.87,9.3
Garcia,Eugene,male,Azerbaijan,9,2020,Broadcast engineer,1999.84,7.2
Jones,Curtis,female,Azerbaijan,5,2020,"Journalist, magazine",2127.77,6.2
Harper,Timothy,female,Congo,11,2022,"Education officer, environmental",1899.28,6.9
Smith,Jonathan,female,Kuwait,8,2021,"Journalist, magazine",2223.77,5.4
Oconnell,Justin,female,Congo,1,2020,"Education officer, environmental",1978.99,9.5
Thornton,Kevin,female,Oman,4,2021,"Education officer, environmental",2006.7,9.5
Tate,Jacob,female,Albania,11,2022,Production manager,2065.14,10.0
Scott,Elijah,female,Oman,12,2020,Production manager,1880.43,8.8
Rodriguez,John,female,Azerbaijan,11,2020,Production manager,1961.79,9.8
Carroll,Terry,female,Kuwait,5,2022,"Education officer, environmental",1901.26,8.4
Cooper,Christopher,female,Azerbaijan,9,2020,Barrister,2110.05,8.4
Mccarty,James,female,Oman,4,2021,Barrister,1901.01,8.7
Thomas,Frank,female,Oman,1,2021,Production manager,1970.47,9.4
Taylor,Daniel,male,Azerbaijan,4,2021,Barrister,1982.3,7.9
Lopez,Michael,female,Azerbaijan,10,2023,Production manager,2027.81,7.9
Richardson,Alejandro,female,Azerbaijan,4,2020,"Journalist, magazine",2001.19,5.1
