last_name,first_name,gender,country,month,year,job,payment,rating
Valencia,Edward,male,Vietnam,4,2023,Production engineer,2100.39,6.6
Hall,John,female,Oman,8,2022,Statistician,2085.24,10.0
Stark,James,male,Vietnam,11,2023,"Horticulturist, amenity",1871.87,7.8
Anderson,William,male,Panama,5,2021,Statistician,1910.54,8.5
Dunn,Grant,female,Oman,5,2021,"Horticulturist, amenity",2059.44,7.9
Guzman,Miguel,male,United Arab Emirates,4,2022,Statistician,2018.14,6.3
Reynolds,Jason,male,Madagascar,5,2023,Statistician,2137.68,8.8
Reynolds,Justin,female,Oman,11,2023,Production engineer,1967.64,7.3
Wright,Troy,male,United Arab Emirates,12,2020,Production engineer,1893.1,6.3
Maynard,Steven,female,United Arab Emirates,2,2021,Production engineer,1903.49,5.2
Turner,Nathaniel,male,United Arab Emirates,10,2020,Statistician,1949.93,7.0
Taylor,Brian,male,Namibia,7,2023,Production engineer,1925.72,6.1
Johnson,Jeff,male,United Arab Emirates,7,2023,"Horticulturist, amenity",2143.88,9.6
Ryan,Craig,female,Mongolia,4,2023,"Horticulturist, amenity",2132.39,7.4
Cooper,Sean,female,Panama,8,2021,Production engineer,1790.45,7.8
Russo,Gary,male,Oman,6,2022,Statistician,1982.6,7.9
Flores,Cory,male,Oman,7,2023,Statistician,1965.28,7.5
Lopez,Jason,male,Oman,3,2021,Statistician,2141.54,9.4
Butler,Robert,male,United Arab Emirates,8,2023,"Horticulturist, amenity",2051.14,5.9
Johnson,Adam,male,Vietnam,1,2023,Statistician,1887.26,9.7
Cohen,Shane,female,Oman,5,2022,Statistician,2066.96,9.9
Strickland,Mike,female,Mongolia,6,2020,Statistician,2089.8,7.3
Garcia,Gary,male,Oman,11,2020,Production engineer,2156.21,10.0
Cummings,Paul,female,United Arab Emirates,11,2020,Production engineer,1868.17,9.8
Collins,Philip,male,Mongolia,1,2020,Statistician,1934.34,5.8
Rollins,David,female,Mongolia,3,2022,"Horticulturist, amenity",2006.58,8.0
Barnes,Jesus,male,United Arab Emirates,3,2023,Production engineer,1954.96,9.4
Hall,Kyle,male,United Arab Emirates,4,2022,Production engineer,2186.36,7.3
Gray,John,male,Mongolia,5,2022,Production engineer,2019.09,5.8
Castro,Travis,male,Vietnam,3,2022,"Horticulturist, amenity",1958.6,9.1
Lucero,Christian,female,Mongolia,3,2021,"Horticulturist, amenity",2072.99,8.5
Brandt,Douglas,male,Vietnam,8,2021,Production engineer,2128.52,6.4
Hanson,Ronald,female,Mongolia,8,2023,Production engineer,1897.95,9.0
Dickerson,Michael,male,Vietnam,5,2022,"Horticulturist, amenity",2132.6,8.0
Reed,James,female,Oman,12,2020,"Horticulturist, amenity",2037.72,7.1
Mendez,Peter,male,Vietnam,4,2023,Statistician,1922.42,7.6
Kelly,Thomas,female,Oman,1,2020,"Horticulturist, amenity",1968.03,9.7
