last_name,first_name,gender,country,month,year,job,payment,rating
Harris,Erik,female,Israel,6,2022,Cytogeneticist,2128.74,5.5
Coffey,Gary,female,Saint Vincent and the Grenadines,1,2022,"Education officer, environmental",1855.32,9.2
Webb,Kevin,female,Saint Vincent and the Grenadines,7,2023,"Education officer, environmental",1901.91,6.6
Thomas,Stephen,male,South Africa,7,2020,"Education officer, environmental",1907.44,5.1
Blair,Francisco,male,Ukraine,2,2022,Chartered management accountant,1807.77,7.6
Moore,Thomas,male,Saint Vincent and the Grenadines,1,2023,Academic librarian,1894.79,7.2
Johnson,James,male,South Africa,4,2021,"Education officer, environmental",2015.02,5.6
Cordova,David,male,Italy,5,2021,"Education officer, environmental",1959.5,8.4
Garza,Robert,female,Saint Vincent and the Grenadines,12,2022,Academic librarian,1898.58,6.1
Osborne,Eric,male,Ukraine,6,2023,Chartered management accountant,1955.65,10.0
Morales,Kenneth,female,Saint Vincent and the Grenadines,10,2022,"Education officer, environmental",2050.65,6.0
Rivera,Ryan,male,Italy,2,2023,"Education officer, environmental",1843.51,9.7
Castillo,Michael,female,South Africa,7,2022,Cytogeneticist,1976.9,8.7
Martinez,Daniel,male,Israel,1,2022,"Education officer, environmental",1966.12,6.9
Hunter,William,male,South Africa,7,2021,Academic librarian,1927.18,9.7
Smith,Thomas,male,South Africa,6,2020,Chartered management accountant,1906.4,6.2
Finley,Kelly,female,South Africa,7,2021,"Designer, interior/spatial",1887.33,6.4
Terry,David,male,Ukraine,8,2023,Cytogeneticist,1959.68,10.0
Trujillo,Carl,male,Israel,1,2022,Chartered management accountant,1887.29,6.5
Schultz,Roger,male,South Africa,2,2020,Cytogeneticist,2015.72,7.3
Combs,Anthony,male,Saint Vincent and the Grenadines,7,2022,Cytogeneticist,2067.84,9.7
Salazar,Anthony,male,South Africa,10,2023,"Designer, interior/spatial",2073.59,5.4
Banks,Terry,male,South Africa,12,2021,"Education officer, environmental",1924.81,5.6
Bell,Jeremy,male,Saint Vincent and the Grenadines,12,2020,Academic librarian,1930.69,7.5
Smith,Mark,male,Ukraine,7,2022,Academic librarian,2234.89,10.0
Carey,Mitchell,male,Israel,6,2021,Cytogeneticist,2195.52,7.7
Perry,Dean,male,Saint Vincent and the Grenadines,7,2021,Cytogeneticist,1805.09,8.9
Hernandez,James,male,South Africa,10,2020,Academic librarian,1984.63,6.1
Freeman,Tyler,male,Israel,5,2022,"Education officer, environmental",1976.85,5.4
Carter,Ruben,male,Ukraine,10,2021,"Designer, interior/spatial",2066.5,7.3
Johnson,Manuel,female,Ukraine,5,2021,Cytogeneticist,2020.88,7.8
Johnson,Paul,male,Italy,7,2020,Academic librarian,1840.56,7.7
Adams,Darrell,female,Saint Vincent and the Grenadines,11,2022,Cytogeneticist,1746.59,5.1
Holt,Carl,male,Saint Vincent and the Grenadines,10,2022,Chartered management accountant,2054.13,5.9
Smith,Cristian,male,Ukraine,3,2020,Academic librarian,1947.88,8.5
Poole,John,female,Israel,7,2020,Cytogeneticist,2027.58,6.6
Branch,Travis,female,Italy,5,2023,"Designer, interior/spatial",1956.17,6.5
Mccarthy,Thomas,female,Saint Vincent and the Grenadines,12,2022,Cytogeneticist,1897.44,7.1
Wilkinson,Gregory,female,Ukraine,1,2022,Academic librarian,1970.1,7.9
Brown,James,female,Israel,4,2023,Academic librarian,1997.4,5.7
Figueroa,Daniel,male,Saint Vincent and the Grenadines,1,2022,"Education officer, environmental",1842.63,5.6
Kelly,Jason,male,Italy,4,2021,"Education officer, environmental",2046.58,9.9
Knight,Matthew,female,Saint Vincent and the Grenadines,9,2022,Chartered management accountant,2089.88,7.0
Mitchell,Michael,female,Ukraine,10,2022,"Education officer, environmental",2005.92,8.8
