last_name,first_name,gender,country,month,year,job,payment,rating
Garrett,Jason,female,Gabon,5,2021,Operational investment banker,2122.12,7.6
Macias,Kevin,female,Northern Mariana Islands,6,2020,"Pharmacist, community",1879.71,9.8
Davis,Cory,female,Wallis and Futuna,12,2021,Careers adviser,1890.71,9.4
Brown,Christopher,male,Holy See (Vatican City State),8,2021,Careers adviser,2200.01,9.1
Bell,Michael,male,Northern Mariana Islands,8,2023,"Pharmacist, community",1915.42,9.7
Taylor,Brandon,male,French Polynesia,3,2021,Operational investment banker,1909.37,10.0
Conrad,Gregory,female,Northern Mariana Islands,12,2021,Careers adviser,2042.87,8.3
Jones,Michael,female,French Polynesia,6,2022,Operational investment banker,1970.06,10.0
Ramos,Alan,male,Holy See (Vatican City State),9,2023,Operational investment banker,1983.71,6.5
West,Tyler,male,French Polynesia,6,2020,Planning and development surveyor,2007.91,10.0
Sweeney,Shane,female,Holy See (Vatican City State),6,2021,Careers adviser,1875.25,7.3
Bartlett,David,male,French Polynesia,11,2023,"Pharmacist, community",1988.81,7.3
Robinson,Ronald,female,Gabon,2,2022,"Pharmacist, community",2109.34,6.5
Rogers,James,female,Holy See (Vatican City State),4,2022,Operational investment banker,1796.04,6.3
Lopez,Tracy,female,Northern Mariana Islands,6,2022,Planning and development surveyor,2145.68,7.0
Parrish,Jonathan,female,Northern Mariana Islands,1,2023,Operational investment banker,1789.77,7.2
Henry,David,female,Gabon,2,2020,Careers adviser,2020.94,8.8
Brooks,John,male,Wallis and Futuna,9,2021,"Pharmacist, community",2007.27,7.2
Rogers,Kevin,female,Holy See (Vatican City State),3,2022,Planning and development surveyor,2116.48,8.5
Phelps,Henry,female,French Polynesia,6,2022,Careers adviser,2090.12,7.8
Miller,Michael,female,French Polynesia,1,2023,Operational investment banker,1808.56,10.0
Erickson,Anthony,male,Northern Mariana Islands,5,2022,Planning and development surveyor,1953.68,9.2
Guerra,Tim,female,French Polynesia,12,2023,Operational investment banker,1972.07,9.9
Ross,Derrick,female,Gabon,12,2021,Operational investment banker,2016.59,6.5
Craig,Benjamin,female,Wallis and Futuna,8,2020,Operational investment banker,1903.94,6.9
Dalton,Jay,female,Gabon,6,2021,Operational investment banker,1987.47,8.6
Lawson,Robert,female,Wallis and Futuna,4,2023,Operational investment banker,2043.0,8.0
Rhodes,Chris,female,Holy See (Vatican City State),5,2022,Operational investment banker,2037.24,7.4
Scott,Thomas,female,Wallis and Futuna,8,2022,Careers adviser,2146.47,7.2
Ellis,David,male,Holy See (Vatican City State),12,2021,Careers adviser,1978.43,7.5
Oliver,Jonathan,male,Gabon,6,2020,Operational investment banker,2007.37,5.4
Warren,Douglas,male,Northern Mariana Islands,6,2020,Operational investment banker,1812.28,7.1
Ayala,Shawn,female,Gabon,1,2020,Operational investment banker,1972.65,6.3
Moran,Kyle,female,Wallis and Futuna,11,2023,Operational investment banker,1895.13,8.6
Hansen,Daniel,female,Northern Mariana Islands,4,2020,"Pharmacist, community",1846.17,8.3
Reeves,Mark,female,Wallis and Futuna,3,2021,Careers adviser,1987.85,7.2
Turner,Larry,female,Holy See (Vatican City State),6,2022,Careers adviser,1986.12,7.3
Wall,Paul,male,French Polynesia,11,2022,Planning and development surveyor,2162.32,8.8
Jones,Nathaniel,male,Wallis and Futuna,7,2022,Operational investment banker,1964.16,9.2
Coleman,Mark,female,French Polynesia,6,2022,Planning and development surveyor,2025.64,7.4
Henry,Jerry,male,Gabon,1,2020,Careers adviser,2040.51,5.7
Morales,Douglas,male,French Polynesia,8,2020,Planning and development surveyor,1868.56,9.0
Gallagher,Douglas,male,French Polynesia,10,2022,"Pharmacist, community",1952.81,9.8
Garcia,Kyle,female,Wallis and Futuna,12,2021,Planning and development surveyor,1862.46,7.8
Shaw,Eric,male,Wallis and Futuna,3,2023,"Pharmacist, community",1945.07,8.9
Woods,Joshua,female,Wallis and Futuna,8,2022,Operational investment banker,1941.89,7.0
Blake,Taylor,male,French Polynesia,4,2023,Planning and development surveyor,1837.2,8.0
Mclaughlin,Christopher,male,Wallis and Futuna,2,2020,Operational investment banker,2096.32,8.6
Smith,Douglas,male,Wallis and Futuna,4,2021,Operational investment banker,1924.75,6.2
Ramos,Richard,female,Gabon,8,2020,Operational investment banker,2065.3,9.2
Phillips,Ryan,female,Northern Mariana Islands,5,2022,Operational investment banker,2004.49,8.7
Sims,Matthew,female,French Polynesia,2,2020,Operational investment banker,2120.62,10.0
Wilson,Eric,male,Northern Mariana Islands,6,2023,Careers adviser,2012.22,9.5
Ryan,James,female,Wallis and Futuna,4,2022,Planning and development surveyor,1903.24,9.0
Hayes,Jesse,female,Wallis and Futuna,4,2021,Planning and development surveyor,2070.47,10.0
Miller,Joel,female,Northern Mariana Islands,9,2021,Planning and development surveyor,1940.19,5.9
Foley,James,female,Holy See (Vatican City State),5,2020,Operational investment banker,2127.04,7.0
Ortega,Stephen,female,French Polynesia,12,2023,Planning and development surveyor,1952.79,9.8
Maldonado,Richard,male,French Polynesia,1,2023,Planning and development surveyor,2064.6,9.9
Alexander,Tyler,female,French Polynesia,1,2022,"Pharmacist, community",2017.36,8.9
Mcdonald,James,male,Holy See (Vatican City State),10,2021,Planning and development surveyor,1910.61,5.2
Ramsey,Gary,female,French Polynesia,6,2023,Planning and development surveyor,1919.96,10.0
Benitez,Zachary,male,Northern Mariana Islands,4,2021,Careers adviser,2118.4,5.2
Avila,Henry,female,French Polynesia,5,2020,Planning and development surveyor,2049.39,8.9
York,Jeffrey,female,French Polynesia,1,2021,Planning and development surveyor,2082.17,9.9
