last_name,first_name,gender,country,month,year,job,payment,rating
Martin,Todd,male,French Polynesia,12,2020,Office manager,2124.12,8.6
Greene,Jeffrey,male,Tonga,2,2023,Air traffic controller,1894.81,6.2
Robinson,Maurice,female,Turkmenistan,1,2021,Sales executive,1952.22,9.5
Allen,Luke,male,Dominican Republic,8,2023,Travel agency manager,2140.7,9.8
Rojas,Tom,male,Mongolia,8,2022,Sales executive,1905.27,7.7
Clark,Thomas,male,Christmas Island,8,2022,Air traffic controller,1857.06,8.6
Miller,Austin,male,Christmas Island,11,2022,Office manager,1967.57,6.0
Lopez,Matthew,male,French Polynesia,7,2020,Sales executive,1876.02,7.9
Brown,Jose,male,Tonga,12,2021,Travel agency manager,1962.77,8.1
Newton,Justin,male,Dominican Republic,4,2021,Sales executive,1749.88,7.1
Mora,Thomas,male,Austria,8,2023,Travel agency manager,1909.98,10.0
Eaton,Benjamin,male,Tonga,4,2020,Travel agency manager,2125.22,9.3
Allen,Michael,male,Austria,4,2021,Travel agency manager,1921.79,10.0
Davis,John,male,French Polynesia,12,2023,Sales executive,2106.19,7.3
Wiley,Rodney,female,Tonga,5,2021,Sales executive,1987.15,8.7
Jackson,Ronnie,female,Austria,7,2021,Travel agency manager,2007.88,9.3
Perkins,Frederick,male,Christmas Island,11,2022,Travel agency manager,2135.1,9.9
Pace,Austin,male,Turkmenistan,12,2022,Office manager,2085.13,8.6
Mitchell,Douglas,male,Austria,9,2022,Office manager,1931.87,7.1
Thomas,Thomas,male,Venezuela,5,2021,Travel agency manager,2011.33,7.5
Petersen,Zachary,male,Tonga,1,2022,Travel agency manager,2060.58,6.6
Ford,Joseph,male,Turkmenistan,11,2023,Air traffic controller,2145.83,6.4
Barnes,Scott,female,Austria,7,2023,Office manager,2028.07,7.8
Hutchinson,Seth,male,Madagascar,11,2020,Air traffic controller,1982.49,6.3
Hickman,Martin,male,Madagascar,12,2020,Office manager,1932.99,6.4
Johnson,Joshua,male,Madagascar,4,2022,Travel agency manager,2107.04,7.4
Brady,Douglas,male,Madagascar,1,2020,Office manager,1972.75,9.6
Davidson,Jared,male,Austria,6,2023,Office manager,2030.44,9.1
Miller,Christopher,male,Austria,8,2020,Air traffic controller,2094.99,10.0
Browning,Daniel,male,Christmas Island,6,2023,Office manager,1857.96,6.7
Ellis,Stephen,male,Tonga,7,2022,Air traffic controller,2027.46,9.7
Young,Tyler,male,French Polynesia,3,2023,Sales executive,2094.9,9.7
Garcia,Michael,male,Austria,5,2023,Travel agency manager,2078.4,8.0
Carr,Eric,male,French Polynesia,10,2022,Sales executive,1991.82,5.6
Gross,Lucas,male,Dominican Republic,6,2023,Sales executive,2004.93,8.0
Garcia,Edward,male,Turkmenistan,7,2023,Sales executive,1936.43,5.2
Newman,Robert,female,Tonga,6,2023,Travel agency manager,1884.56,7.2
Ortega,Travis,male,Turkmenistan,6,2020,Office manager,2091.81,5.1
