last_name,first_name,gender,country,month,year,job,payment,rating
Williams,Frederick,male,Panama,7,2023,Land,2080.21,5.9
Garcia,Robert,male,Greece,6,2023,Land,2063.91,7.2
Bennett,Christian,male,Myanmar,2,2020,"Designer, multimedia",2086.48,5.3
Cruz,Robert,female,Korea,6,2022,Land,1978.22,8.3
Huff,Anthony,male,Korea,3,2023,Magazine journalist,1825.52,5.0
Jones,Brian,female,South Georgia and the South Sandwich Islands,9,2022,"Designer, multimedia",2011.84,7.2
Castro,Mason,female,Togo,1,2021,Land,2060.24,7.1
Duke,Brendan,female,Georgia,2,2023,Land,1905.32,8.5
Evans,Joshua,male,Togo,8,2022,Land,2154.87,5.6
Hernandez,James,female,Myanmar,4,2022,"Designer, multimedia",1938.07,8.6
Cook,Zachary,female,Tunisia,8,2022,Land,2088.95,6.4
Dyer,Casey,male,Myanmar,5,2022,Land,1894.14,6.8
Estrada,Jesse,female,Georgia,2,2020,Land,2005.26,8.6
Saunders,Mark,female,Korea,5,2021,Land,2033.64,5.9
Avila,Patrick,female,South Georgia and the South Sandwich Islands,7,2020,"Designer, multimedia",1920.89,9.4
Duarte,Adam,male,Korea,12,2023,"Designer, multimedia",2084.41,7.7
Taylor,David,female,South Georgia and the South Sandwich Islands,5,2022,Land,1930.04,8.0
Obrien,Tristan,female,Panama,10,2023,Magazine journalist,1861.57,9.3
Bradley,Michael,male,Greece,2,2022,"Designer, multimedia",2134.34,10.0
Dorsey,Michael,female,Georgia,4,2023,"Designer, multimedia",2043.09,9.3
Nelson,Troy,female,Greece,7,2022,"Designer, multimedia",1964.51,10.0
Green,Charles,male,Tunisia,5,2022,"Designer, multimedia",1967.64,6.6
Lopez,Scott,female,Bouvet Island (Bouvetoya),4,2021,"Designer, multimedia",2037.25,9.1
Torres,Benjamin,male,Tunisia,4,2023,Land,2069.64,6.0
Kline,Jerry,female,Togo,2,2021,Land,1959.76,6.5
Ferguson,Joshua,male,Korea,12,2020,"Designer, multimedia",1993.89,6.6
Williams,Corey,female,Panama,8,2021,"Designer, multimedia",2035.47,9.6
Myers,Larry,female,Togo,9,2020,Magazine journalist,2024.57,8.1
Cameron,Troy,male,Togo,5,2021,Magazine journalist,1959.24,9.3
Krueger,Ivan,male,Panama,5,2021,Magazine journalist,1995.23,5.7
White,Jonathan,male,South Georgia and the South Sandwich Islands,8,2022,Land,2200.92,9.6
Smith,Peter,male,South Georgia and the South Sandwich Islands,6,2023,Magazine journalist,2069.46,5.9
