last_name,first_name,gender,country,month,year,job,payment,rating
King,Jared,male,Falkland Islands (Malvinas),10,2021,Arts development officer,1957.9,8.7
Ponce,Peter,male,Bahamas,6,2020,Hospital doctor,2069.5,6.3
Taylor,Rodney,female,Somalia,7,2023,Public relations account executive,1957.35,8.0
Wiggins,Wyatt,female,Falkland Islands (Malvinas),10,2023,Social worker,1855.94,6.2
Cox,Cody,male,Somalia,9,2021,Hospital doctor,1825.12,9.5
Williams,Jared,female,Bahrain,7,2021,Hospital doctor,1957.64,7.5
Galvan,Joshua,male,Bahamas,10,2021,Hospital doctor,2042.15,7.5
Fowler,John,male,Bahamas,9,2023,Arts development officer,2021.68,6.0
Aguirre,Richard,male,Somalia,3,2022,Hospital doctor,2058.43,7.0
Wilson,Charles,female,India,8,2020,Hospital doctor,2023.23,6.8
Moore,Leonard,female,Bahamas,6,2020,Hospital doctor,1937.73,8.4
Valencia,Thomas,male,Falkland Islands (Malvinas),7,2022,Public relations account executive,2090.33,9.0
Adams,Mike,male,Bahamas,9,2020,Social worker,2052.09,6.4
Keller,Samuel,female,Central African Republic,10,2020,Public relations account executive,2037.68,5.0
Evans,Eddie,male,Bahamas,10,2022,"Programmer, systems",2114.97,9.6
Wilkerson,Gary,female,Bahrain,11,2021,Social worker,1971.18,7.3
Rivera,Derek,female,Somalia,9,2022,Hospital doctor,1890.72,6.0
Michael,Michael,female,Barbados,3,2020,Hospital doctor,1935.81,10.0
Smith,Edward,female,Sri Lanka,6,2023,"Programmer, systems",1965.54,6.9
Herring,Jonathan,male,Luxembourg,8,2022,Arts development officer,2090.87,7.9
Lewis,John,female,Luxembourg,8,2022,Social worker,2064.85,6.3
Carter,David,male,Papua New Guinea,7,2022,"Programmer, systems",2039.45,9.6
Davis,Brendan,male,Papua New Guinea,7,2023,Arts development officer,1831.3,6.5
Vargas,Jeffrey,female,Somalia,9,2023,Social worker,2064.87,8.0
Parker,James,male,Papua New Guinea,11,2023,"Programmer, systems",2259.73,6.2
King,Matthew,male,Sri Lanka,2,2023,Social worker,1976.38,9.5
Alexander,Raymond,female,Somalia,4,2023,Social worker,1982.84,8.2
Shepard,Christopher,female,Falkland Islands (Malvinas),3,2021,Hospital doctor,1923.97,6.6
Martin,Gregory,female,Bahrain,5,2021,Social worker,1886.4,9.1
Montes,Steven,female,Bahrain,1,2023,"Programmer, systems",2122.73,5.5
White,Justin,male,Papua New Guinea,10,2023,Hospital doctor,2090.15,6.0
Vasquez,John,female,Sri Lanka,10,2020,Arts development officer,1956.02,9.2
Lopez,Juan,male,Papua New Guinea,5,2020,Social worker,1983.69,6.8
Fox,Henry,female,Sri Lanka,12,2023,Social worker,1995.18,6.3
Bradley,Ronald,female,India,8,2020,Public relations account executive,1868.33,5.9
Murphy,Eric,male,Central African Republic,2,2022,Public relations account executive,2062.55,6.1
Ramirez,Michael,male,Bahrain,8,2023,"Programmer, systems",1931.45,6.7
Aguirre,Luis,male,Bahrain,1,2021,Social worker,2117.28,8.2
Rosales,Cody,male,Sri Lanka,12,2020,Social worker,2112.37,5.6
Schultz,Tommy,female,Central African Republic,7,2023,Social worker,2086.75,5.6
Smith,Sean,male,Barbados,6,2022,Arts development officer,2004.38,9.7
Rowe,Carl,male,Barbados,2,2021,Public relations account executive,1893.18,9.9
Bryant,Dean,male,Central African Republic,1,2021,Public relations account executive,1839.73,6.4
Bennett,Derek,female,Bahrain,5,2022,Social worker,1944.26,7.4
Howell,James,male,Sri Lanka,8,2023,Social worker,1951.41,5.3
Perry,Ryan,male,Papua New Guinea,11,2021,"Programmer, systems",2014.58,8.5
Francis,Matthew,female,Barbados,4,2021,Hospital doctor,1915.69,8.9
Williams,Matthew,male,Sri Lanka,3,2022,Public relations account executive,1966.71,6.6
Ellis,Justin,male,Bahrain,5,2021,Arts development officer,2052.6,7.8
Vincent,Russell,male,Falkland Islands (Malvinas),11,2021,Social worker,1987.9,7.9
Stephens,Tanner,male,Bahamas,1,2020,Social worker,2066.17,5.9
Williams,Spencer,female,Sri Lanka,9,2021,Hospital doctor,1950.39,9.7
Jones,Jonathan,male,Barbados,9,2023,Hospital doctor,1924.17,10.0
Knight,Benjamin,female,Somalia,1,2023,Arts development officer,2078.64,6.4
Beard,Thomas,female,Somalia,11,2020,Public relations account executive,2095.52,7.9
Oconnor,Gerald,male,Bahamas,2,2021,Social worker,1880.52,8.7
Gomez,Justin,female,Bahamas,1,2022,Public relations account executive,2105.74,8.6
Meadows,Darryl,female,Barbados,3,2023,Public relations account executive,2159.95,9.8
Smith,Steven,female,Papua New Guinea,7,2022,"Programmer, systems",2249.72,5.7
Smith,Gary,male,Bahrain,11,2023,Social worker,1989.3,7.8
Walker,Barry,male,Bahrain,9,2022,Public relations account executive,2161.01,8.2
Kelley,Lucas,female,Luxembourg,7,2023,Social worker,1847.49,5.6
Mason,Robert,male,Central African Republic,1,2021,Social worker,1861.9,9.0
Diaz,Ryan,female,Papua New Guinea,8,2021,"Programmer, systems",2110.68,6.9
Leach,Scott,male,Papua New Guinea,7,2022,Social worker,2092.24,6.5
Lee,Zachary,female,Somalia,3,2021,Public relations account executive,1928.02,8.7
Ray,Andrew,male,Bahrain,4,2022,Hospital doctor,2073.77,5.7
Smith,Ethan,male,Somalia,10,2020,Social worker,1884.93,9.2
Phillips,Bryan,female,Central African Republic,6,2023,Public relations account executive,2033.63,9.6
Hall,Matthew,male,India,7,2021,Arts development officer,1955.69,5.9
Rangel,Scott,male,Papua New Guinea,1,2021,Hospital doctor,2249.01,9.2
Kelly,Jason,male,Luxembourg,8,2023,Arts development officer,2139.92,9.2
Flores,Ricardo,female,Falkland Islands (Malvinas),1,2021,"Programmer, systems",2199.87,7.2
Humphrey,Jason,male,Bahamas,12,2022,Arts development officer,2028.99,8.4
Jones,William,female,Bahamas,1,2023,"Programmer, systems",1863.71,9.5
Morales,Michael,male,Bahamas,12,2022,Arts development officer,1924.1,8.8
Abbott,Curtis,male,Bahrain,8,2022,Social worker,2005.71,5.8
Whitney,Brian,male,Somalia,7,2023,Hospital doctor,2104.33,6.7
Sanford,Phillip,female,Luxembourg,3,2022,Public relations account executive,2022.13,8.9
Garza,Samuel,male,Central African Republic,5,2023,Social worker,2091.32,6.6
Miller,James,female,Somalia,12,2020,Arts development officer,2082.41,7.5
Olson,William,male,Somalia,10,2021,"Programmer, systems",1996.96,8.6
Daugherty,Mark,male,Somalia,7,2022,Social worker,1892.26,5.8
Matthews,James,male,Somalia,6,2022,Public relations account executive,1885.92,8.7
Crane,Thomas,male,Somalia,3,2023,Arts development officer,2099.48,6.0
Allen,Craig,male,Somalia,1,2020,Arts development officer,1902.45,7.8
Williams,Adam,male,Falkland Islands (Malvinas),4,2021,Public relations account executive,2067.85,6.0
Berry,Randall,male,Bahrain,4,2023,Arts development officer,2057.58,8.1
Taylor,Charles,female,Somalia,2,2021,Hospital doctor,2090.31,7.5
Ross,Tony,female,Bahrain,10,2021,Arts development officer,1935.87,6.2
Gilbert,Marcus,female,India,11,2022,"Programmer, systems",2145.59,9.8
Marshall,Charles,male,Luxembourg,4,2020,Arts development officer,2152.62,7.7
Nixon,Terry,female,Bahamas,9,2023,Hospital doctor,2075.41,8.3
Evans,Thomas,male,Falkland Islands (Malvinas),8,2021,"Programmer, systems",2066.02,7.7
Wong,Gregory,female,Somalia,6,2020,Social worker,2129.0,8.0
Yang,Jose,male,Bahamas,8,2021,Social worker,2069.44,7.9
Flores,Tyler,male,Falkland Islands (Malvinas),5,2023,"Programmer, systems",1723.55,5.6
Orr,Joseph,male,Barbados,10,2021,Arts development officer,1938.5,7.9
Estrada,Devin,male,Falkland Islands (Malvinas),3,2022,Arts development officer,2184.86,7.6
Griffin,Ronald,male,Central African Republic,6,2020,Social worker,2029.03,9.1
Fitzgerald,Travis,female,Luxembourg,1,2022,Arts development officer,2000.14,6.6
Hunt,Cody,male,Central African Republic,2,2021,Hospital doctor,2150.1,5.6
Diaz,Charles,female,Somalia,3,2022,Hospital doctor,1958.8,6.2
Gregory,James,female,Falkland Islands (Malvinas),12,2021,Public relations account executive,2071.39,9.2
Murray,Jeffrey,female,Luxembourg,9,2021,Public relations account executive,1846.82,9.2
Ball,Kevin,male,Papua New Guinea,4,2022,Arts development officer,2212.74,7.3
Williams,Steven,male,Barbados,6,2023,"Programmer, systems",1919.13,8.2
Valentine,Connor,male,Luxembourg,2,2022,Social worker,1884.86,6.6
Martinez,John,male,Luxembourg,5,2022,Hospital doctor,1950.95,8.3
Howe,Edward,male,Falkland Islands (Malvinas),4,2020,"Programmer, systems",2013.94,9.1
Beck,Jeffery,female,Bahrain,5,2021,Social worker,1913.57,6.6
Wells,Michael,male,Barbados,5,2022,Social worker,2112.43,9.8
Martin,Matthew,female,Bahrain,4,2020,Public relations account executive,2201.36,9.0
Garcia,John,female,Falkland Islands (Malvinas),1,2021,Social worker,2077.54,5.9
Smith,Rodney,male,Somalia,5,2021,Public relations account executive,1953.16,6.6
Hall,James,male,Central African Republic,1,2021,"Programmer, systems",2068.56,6.7
Mccullough,Justin,male,Luxembourg,8,2021,Arts development officer,2056.67,6.5
Bishop,Victor,male,Central African Republic,4,2021,Arts development officer,1928.61,7.5
Harris,Brandon,male,Bahamas,8,2020,"Programmer, systems",2188.76,9.2
Morales,Michael,male,Somalia,12,2020,Arts development officer,1936.36,5.7
Stewart,Keith,female,Sri Lanka,11,2021,Social worker,2182.23,9.5
Neal,John,male,Somalia,1,2020,Arts development officer,2050.47,7.8
Waters,Robert,male,Bahrain,9,2020,Social worker,1822.15,6.6
Jenkins,John,female,Luxembourg,1,2021,Social worker,2048.75,8.3
Carr,Daniel,male,Papua New Guinea,7,2023,Hospital doctor,2063.98,9.5
Cline,Daniel,male,Sri Lanka,10,2023,Hospital doctor,2198.14,7.4
Wolf,Robert,male,Luxembourg,11,2023,Hospital doctor,2000.58,6.1
Contreras,James,male,Somalia,12,2023,Arts development officer,1962.2,5.1
Lewis,Matthew,male,Bahrain,1,2021,"Programmer, systems",1803.83,9.6
Berg,Bernard,female,Luxembourg,9,2023,Arts development officer,1745.55,8.1
Johnson,David,male,Bahrain,4,2021,Public relations account executive,2026.54,5.2
Gardner,Samuel,female,Bahamas,6,2021,Arts development officer,2104.74,8.2
Simpson,David,male,Bahrain,7,2022,Social worker,1957.89,8.7
Diaz,Austin,male,Sri Lanka,9,2022,Arts development officer,1947.7,8.0
Brown,David,female,Bahamas,5,2023,Arts development officer,1979.35,8.9
Yu,Mike,male,Central African Republic,11,2020,Arts development officer,2113.24,7.8
Simmons,Eric,female,Bahrain,5,2021,"Programmer, systems",1952.23,9.7
Berg,Ralph,female,Luxembourg,10,2021,"Programmer, systems",2077.17,7.3
Sanchez,Christopher,female,Bahrain,6,2023,"Programmer, systems",2033.42,6.7
