last_name,first_name,gender,country,month,year,job,payment,rating
Murray,John,male,Sao Tome and Principe,7,2021,Financial manager,2019.88,6.4
Johnson,Gary,male,Kazakhstan,4,2023,Financial manager,1948.37,8.8
Wilson,Daniel,male,Saint Pierre and Miquelon,5,2021,Games developer,2063.95,7.6
Stevens,Lance,female,Kazakhstan,6,2020,"Engineer, structural",2123.36,8.8
Hayden,Alan,female,Sao Tome and Principe,5,2022,"Engineer, structural",2084.68,9.3
Williams,Logan,female,Cote d'Ivoire,6,2022,Land/geomatics surveyor,1970.75,9.5
Pratt,Erik,female,Kazakhstan,5,2023,"Engineer, structural",1971.91,9.3
Page,David,male,Kazakhstan,7,2022,"Engineer, structural",2051.75,8.4
Walker,John,male,Kazakhstan,8,2023,Financial manager,2047.52,7.9
Bartlett,Dylan,male,Kazakhstan,3,2022,"Engineer, structural",2178.05,8.7
Powell,James,female,Sao Tome and Principe,9,2021,Financial manager,1996.2,9.9
Barry,Roger,male,Turkey,8,2021,Television camera operator,2105.5,9.6
Turner,Kevin,female,Madagascar,10,2023,Television camera operator,2092.38,5.0
Herman,Daniel,male,Sao Tome and Principe,4,2023,Financial manager,2115.7,8.9
Gray,Jason,female,Turkey,3,2022,Financial manager,1936.88,6.2
Patel,Justin,female,Tajikistan,6,2022,"Engineer, structural",2097.51,8.7
Kirby,Todd,female,Cote d'Ivoire,7,2022,Games developer,1798.9,8.8
Johnson,Brandon,female,Cote d'Ivoire,3,2020,Games developer,1787.74,5.2
Spencer,Jacob,female,Moldova,1,2023,"Engineer, structural",1952.43,8.9
Ross,Walter,male,Cote d'Ivoire,8,2021,Games developer,2051.37,6.2
Robinson,Andrew,female,Tajikistan,1,2022,Financial manager,2005.0,9.9
Baxter,Gregory,female,Saint Pierre and Miquelon,11,2020,Television camera operator,1863.95,8.6
Cook,Adrian,male,Tajikistan,6,2021,Land/geomatics surveyor,1995.54,8.8
Mccarthy,David,female,Tajikistan,2,2021,"Engineer, structural",1964.95,6.8
West,Michael,female,Saint Pierre and Miquelon,8,2022,Games developer,2002.71,10.0
Carpenter,Gregory,male,Moldova,8,2023,"Engineer, structural",2086.79,5.0
Warren,Phillip,female,Saint Pierre and Miquelon,2,2022,Financial manager,2000.75,7.9
Scott,Dave,male,Kazakhstan,7,2022,Games developer,2042.59,8.8
Cox,Frederick,male,Cote d'Ivoire,10,2022,Financial manager,2039.53,9.6
Berg,Michael,female,Tajikistan,11,2021,"Engineer, structural",1909.07,5.4
Weber,Eric,male,Kazakhstan,8,2023,Television camera operator,2050.24,7.8
Chambers,Christopher,female,Turkey,3,2020,Land/geomatics surveyor,1895.92,8.9
Andrade,Andrew,male,Tajikistan,6,2020,Television camera operator,2133.44,5.2
Pitts,Jason,male,Madagascar,12,2022,Land/geomatics surveyor,1762.38,5.9
Reed,Brandon,female,Sao Tome and Principe,5,2023,Television camera operator,2038.64,5.4
White,Gregg,male,Sao Tome and Principe,1,2021,Financial manager,1991.96,9.6
Holmes,Charles,female,Saint Pierre and Miquelon,10,2023,Television camera operator,2022.87,10.0
Mcclure,Cody,male,Tajikistan,8,2022,"Engineer, structural",1943.15,6.9
Haley,Bryan,male,Sao Tome and Principe,8,2021,Financial manager,2146.18,5.2
Meza,Nicholas,male,Saint Pierre and Miquelon,5,2020,Games developer,1947.79,10.0
Martin,Daniel,female,Cote d'Ivoire,5,2023,Financial manager,2051.45,8.4
Turner,Jordan,female,Tajikistan,1,2022,"Engineer, structural",1989.63,9.7
Wall,Michael,male,Cote d'Ivoire,2,2022,"Engineer, structural",1909.4,5.0
Randall,Stephen,female,Tajikistan,4,2022,Land/geomatics surveyor,1965.8,6.8
Haynes,James,female,Sao Tome and Principe,12,2022,Games developer,1965.84,9.0
Moore,James,male,Saint Pierre and Miquelon,12,2023,"Engineer, structural",1969.17,10.0
Carey,Benjamin,male,Tajikistan,7,2020,Television camera operator,2087.42,7.7
Mcintyre,Christopher,male,Turkey,5,2023,Television camera operator,1893.91,7.0
West,Oscar,female,Sao Tome and Principe,3,2021,Games developer,2014.69,9.6
Craig,Ryan,female,Saint Pierre and Miquelon,9,2021,Financial manager,1951.14,8.4
Marquez,Tracy,female,Sao Tome and Principe,4,2021,Financial manager,1823.27,5.9
Hurst,Drew,male,Sao Tome and Principe,5,2022,"Engineer, structural",2189.27,9.8
Gonzalez,Mark,male,Cote d'Ivoire,8,2023,Television camera operator,1884.97,7.8
Allen,Robert,male,Sao Tome and Principe,9,2020,"Engineer, structural",1962.32,8.5
