last_name,first_name,gender,country,month,year,job,payment,rating
Forbes,Jacob,male,Uzbekistan,12,2022,Music therapist,2023.98,7.0
Mills,John,male,Zimbabwe,9,2023,Tourism officer,2019.44,6.0
Baker,Logan,male,Singapore,12,2021,Music therapist,2030.63,9.5
Torres,Christopher,male,Singapore,8,2022,Lexicographer,2089.68,8.6
Alvarado,Marcus,male,Timor-Leste,11,2020,Music therapist,1921.44,8.2
Bolton,Thomas,male,Zimbabwe,6,2023,"Surveyor, commercial/residential",2037.91,6.1
Spears,Richard,female,Timor-Leste,6,2023,Regulatory affairs officer,1978.38,7.4
Porter,Matthew,female,Zimbabwe,7,2022,"Surveyor, commercial/residential",1997.2,5.7
Brady,John,female,Timor-Leste,6,2021,"Surveyor, commercial/residential",2022.3,8.9
Garcia,Danny,male,Uzbekistan,10,2022,Music therapist,2005.71,9.1
Rowe,Michael,female,Singapore,5,2023,Lexicographer,2067.83,10.0
Fletcher,John,female,Singapore,11,2020,Regulatory affairs officer,1858.14,9.3
Ramos,Shawn,female,Zimbabwe,12,2023,Regulatory affairs officer,1956.24,5.7
Villa,Tyler,female,India,10,2022,Lexicographer,1934.76,8.2
Riley,James,male,Zimbabwe,6,2022,Music therapist,1923.41,6.5
Hernandez,Dan,male,Singapore,7,2021,Regulatory affairs officer,1983.31,10.0
Malone,William,female,Uzbekistan,9,2023,Tourism officer,1985.72,8.6
White,James,female,Uzbekistan,6,2021,Lexicographer,2067.62,9.4
Jones,Tommy,male,Zimbabwe,11,2023,Tourism officer,2012.85,7.4
Espinoza,John,male,India,6,2022,Tourism officer,1979.41,5.8
Mason,Steve,male,Uzbekistan,3,2020,Lexicographer,1979.99,5.6
Spencer,Matthew,female,Singapore,5,2020,Regulatory affairs officer,2021.2,10.0
Martin,Danny,male,Singapore,10,2023,Tourism officer,1860.13,10.0
Richardson,Justin,male,Singapore,5,2021,Regulatory affairs officer,2109.16,10.0
Coleman,Shawn,female,Timor-Leste,12,2022,Regulatory affairs officer,1948.09,6.6
Robinson,Martin,male,Uzbekistan,11,2021,Music therapist,2063.59,7.3
Frederick,Benjamin,female,India,4,2023,Lexicographer,2015.98,9.7
