last_name,first_name,gender,country,month,year,job,payment,rating
Drake,Jordan,male,Macao,9,2021,"Engineer, technical sales",1986.86,7.3
Ford,Leslie,male,American Samoa,7,2021,"Development worker, international aid",2067.86,6.3
Wiley,Troy,female,Dominican Republic,6,2021,Podiatrist,2113.06,5.2
Ross,Curtis,male,Bermuda,7,2023,Podiatrist,2150.34,9.9
Roberts,Scott,male,Bermuda,11,2020,Podiatrist,1971.28,7.6
Jordan,Shane,male,Trinidad and Tobago,2,2023,Podiatrist,1966.05,7.0
Gonzalez,Donald,male,Bermuda,3,2023,Podiatrist,1814.82,9.3
Fisher,Brandon,male,Dominican Republic,8,2022,Chief Strategy Officer,1921.32,6.4
Pierce,Paul,male,Macao,11,2023,Armed forces technical officer,2130.4,6.6
Banks,Joseph,male,Bermuda,8,2021,Podiatrist,2038.86,8.9
Morales,Joel,male,Dominican Republic,9,2021,"Engineer, technical sales",2076.13,8.9
Young,Jared,male,France,8,2021,"Engineer, technical sales",2059.85,6.6
Hopkins,Donald,male,Switzerland,11,2022,Podiatrist,2060.73,9.3
Norman,Jon,male,France,12,2020,Chief Strategy Officer,1908.96,9.0
Lee,Christopher,male,Trinidad and Tobago,5,2021,"Development worker, international aid",1848.62,9.5
Thompson,David,male,Niger,11,2021,Podiatrist,1975.81,8.9
Williams,Martin,male,Dominican Republic,7,2020,Podiatrist,1933.99,8.9
Hernandez,Kelly,male,Andorra,8,2021,Podiatrist,1817.15,5.1
Nelson,Ronald,female,Switzerland,7,2022,Podiatrist,1707.51,10.0
Moore,Rick,male,Macao,12,2020,"Development worker, international aid",2006.02,5.9
Herrera,Kirk,female,France,5,2022,"Engineer, technical sales",1874.37,9.0
Black,Tony,male,Dominican Republic,10,2020,"Development worker, international aid",2108.09,8.8
Smith,Jordan,male,Andorra,12,2021,Armed forces technical officer,2084.75,7.1
Camacho,John,male,Andorra,5,2020,"Engineer, technical sales",1955.49,8.1
Riley,Thomas,male,Dominican Republic,6,2020,"Development worker, international aid",2005.96,7.4
Brown,Shawn,male,Macao,7,2022,Podiatrist,1990.27,9.6
Watkins,Robert,female,Switzerland,6,2022,"Development worker, international aid",1898.44,9.4
Douglas,Matthew,male,France,5,2021,Armed forces technical officer,2040.99,10.0
